paper_id,annotation_type,extracted_value,type_mismatch,correct_type,value_correct,value_complete,hallucination,source_evidence,issue_summary,corrected_value
PMC10681723,GeneticModification,Spt16-TAP,False,,True,True,False,"For Spt16-TAP ChIP, IgG beads were incubated with the lysate for 3 h, subsequently washed extensively and ChIP DNA was eluted.",OK,
PMC10681723,GeneticModification,Flag-tagged,False,,True,True,False,Flag-tagged protein purification,OK,
PMC10681723,GeneticModification,GFP-tagged,False,,True,True,False,"To purify GFP-tagged proteins, cells were treated in the same manner as for tandem affinity purification but were bound to homemade GFP nanobody beads.",OK,
PMC10681723,Genotype,isogenic W303-1 background,True,Strain,True,True,False,The budding yeast strains used in this study were in the isogenic W303-1 background and are listed in Supplementary Table S1.,"Type mismatch: this is a yeast strain/background descriptor (W303-1), not a genotype.",W303-1
PMC10681723,MaterialType,cells,False,,True,True,False,"Yeast cells were harvested and resuspended in IP buffer (25 mM Tris pH 8.0, 100 mM NaCl, 1 mM EDTA, 10 mM MgCl2, 0.01% NP-40, 1 mM DTT) containing protease inhibitors ...",OK,
PMC10681723,Organism,S. cerevisiae,False,,True,True,False,Data were mapped to the S. cerevisiae reference genome (sacCer3) using the Bowtie2 software.,OK,
PMC10681723,Organism,Escherichia coli,False,,True,True,False,"The histones were produced by co-expression in the BL21(DE3) CodonPlus RIL strain of Escherichia coli, induced by 0.4 mM IPTG for 3 h at 37°C.",OK,
PMC10681723,Staining,coomassie brilliant blue (CBB) staining,False,,True,True,False,The bound proteins were resolved by SDS-PAGE and visualized by coomassie brilliant blue (CBB) staining.,OK,
PMC10681723,Strain,W303-1,False,,True,True,False,The budding yeast strains used in this study were in the isogenic W303-1 background and are listed in Supplementary Table S1.,OK,
PMC10681723,Strain,BL21(DE3) CodonPlus RIL,False,,True,True,False,"The histones were produced by co-expression in the BL21(DE3) CodonPlus RIL strain of Escherichia coli, induced by 0.4 mM IPTG for 3 h at 37°C.",OK,
PMC10681723,EnrichmentMethod,MISSING,False,,False,False,False,Tandem affinity purification,Not extracted — present in source text,Tandem affinity purification
PMC10681723,Bait,MISSING,False,,False,False,False,"For Spt16-TAP ChIP, IgG beads were incubated with the lysate for 3 h, subsequently washed extensively and ChIP DNA was eluted.",Not extracted — present in source text,Spt16
PMC10681723,Bait,MISSING,False,,False,False,False,"For FACT pull-down, 0.2, 0.4, 0.8 and 1.6 μg wild-type FACT or Spt16-ΔN FACT in 0.8 ml buffer A150 was incubated with the resin for 6 h at 4°C and then washed three times in buffer A150.",Not extracted — present in source text,Spt16-ΔN
PMC10681723,GeneticModification,MISSING,False,,False,False,False,"For FACT pull-down, 0.2, 0.4, 0.8 and 1.6 μg wild-type FACT or Spt16-ΔN FACT in 0.8 ml buffer A150 was incubated with the resin for 6 h at 4°C and then washed three times in buffer A150.",Not extracted — present in source text,Spt16-ΔN
PMC10681723,NumberOfBiologicalReplicates,MISSING,False,,False,False,False,The mean and standard deviation of three biological replicates are shown.,Not extracted — present in source text,three biological replicates
PMC4746666,AcquisitionMethod,A data dependent mass spectrometric method,False,,True,True,False,"A data dependent mass spectrometric method was employed, where the 10 most intense ions, excluding unassigned charge states and singly charged ions, detected in the preceding full scan are isolated (3 Th isolation width) and fragmented using higher energy collisional dissociation (HCD) (normalized collision energy 25).",OK,
PMC4746666,Age,40y,False,,True,True,False,"Details of the BM-MSC donors: 40y/m (StemCell, MSC-001F, lot#BM2893), 39y/m (Lonza, PT2505, lot#1F3422), 27y/m (Lonza, PT2505, lot#318006), 20y/m (Lonza, PT2505, lot#8F3520).",OK,
PMC4746666,Age,39y,False,,True,True,False,"Details of the BM-MSC donors: 40y/m (StemCell, MSC-001F, lot#BM2893), 39y/m (Lonza, PT2505, lot#1F3422), 27y/m (Lonza, PT2505, lot#318006), 20y/m (Lonza, PT2505, lot#8F3520).",OK,
PMC4746666,Age,27y,False,,True,True,False,"Details of the BM-MSC donors: 40y/m (StemCell, MSC-001F, lot#BM2893), 39y/m (Lonza, PT2505, lot#1F3422), 27y/m (Lonza, PT2505, lot#318006), 20y/m (Lonza, PT2505, lot#8F3520).",OK,
PMC4746666,Age,20y,False,,True,True,False,"Details of the BM-MSC donors: 40y/m (StemCell, MSC-001F, lot#BM2893), 39y/m (Lonza, PT2505, lot#1F3422), 27y/m (Lonza, PT2505, lot#318006), 20y/m (Lonza, PT2505, lot#8F3520).",OK,
PMC4746666,AlkylationReagent,iodoacetamide,False,,True,True,False,"After reduction (5 mM DTT, 30 min) and alkylation (10 mM iodoacetamide, 20 min, in the dark), proteins were digested for 3 h by Lys-C (Wako) at a protein:enzyme ratio of 100:1.",OK,
PMC4746666,CellLine,human embryonic stem cell line (hESC) ES04 (WiCell institute),False,,True,True,False,Permission to use the human embryonic stem cell line (hESC) ES04 (WiCell institute) was obtained from the Cornell/Rockefeller/Sloan Kettering tri-institutional ESC research oversight committee.,OK,
PMC4746666,CellPart,cytosolic (CYT),False,,True,True,False,"Subcellular fractionation was performed using the Nuclear Extract Kit (ActiveMotif) resulting in cytosolic (CYT), nuclear (NUC) and chromatin-bound (CH) proteins.",OK,
PMC4746666,CellPart,nuclear (NUC),False,,True,True,False,"Subcellular fractionation was performed using the Nuclear Extract Kit (ActiveMotif) resulting in cytosolic (CYT), nuclear (NUC) and chromatin-bound (CH) proteins.",OK,
PMC4746666,CellPart,chromatin-bound (CH),False,,True,True,False,"Subcellular fractionation was performed using the Nuclear Extract Kit (ActiveMotif) resulting in cytosolic (CYT), nuclear (NUC) and chromatin-bound (CH) proteins.",OK,
PMC4746666,CellType,Mesenchymal stem cells (MSC),False,,True,True,False,"Mesenchymal stem cells (MSC) are multipotent cells with great potential in therapy, reflected by more than 500 MSC-based clinical trials registered with the NIH.",OK,
PMC4746666,CellType,ESC-derived MSC,False,,True,True,False,ESC-derived MSC were generated according to a published protocol.,OK,
PMC4746666,CellType,Bone marrow-derived mesenchymal stem cells,False,,True,True,False,"Bone marrow-derived mesenchymal stem cells (Lonza, StemCell Technologies) were purchased with their mesenchymal characteristics verified.",OK,
PMC4746666,CellType,human embryonic stem cells (hESC),False,,True,True,False,"Here we performed an in depth characterization of human ESC-MSC, comparing them to human bone marrow-derived MSC (BM-MSC) as well as human embryonic stem cells (hESC) by transcriptomics (RNA-seq) and quantitative proteomics (nanoLC-MS/MS using SILAC).",OK,
PMC4746666,CleavageAgent,Lys-C,False,,True,True,False,"After reduction (5 mM DTT, 30 min) and alkylation (10 mM iodoacetamide, 20 min, in the dark), proteins were digested for 3 h by Lys-C (Wako) at a protein:enzyme ratio of 100:1.",OK,
